City/Community,,House_units,House_price,House_change,House_foot,Condo_units,Condo_price,Condo_change,Month,
Ranch Santa Fe,92091,7,1900,-0.091,536,0,,,Sep18,
Ranchita,92066,2,311,0.341,170,0,,,Sep18,
San Carlos,92119,20,627,-0.040,408,13,320,0.041,Sep18,
San Diego,92108,1,675,0.047,386,39,349,-0.057,Sep18,
San Diego,92112,0,,,,0,,,Sep18,
San Marcos,92069,20,601,0.045,292,9,380,-0.243,Sep18,
San Marcos,92078,43,779,0.074,333,18,455,0.003,Sep18,
San Ysidro,92173,2,516,0.172,261,0,,,Sep18,
Santa Ysabel,92070,1,,,,0,,,Sep18,
Santee,92071,35,570,0.133,353,24,365,0.058,Sep18,
Scripps Ranch,92131,16,890,0.017,392,13,505,0.031,Sep18,
Solana Beach,92075,6,1444,0.000,672,9,733,0.007,Sep18,
Sorrento Valley,92121,2,970,0.105,385,2,600,0.000,Sep18,
South San Diego,92154,17,535,0.049,296,14,358,0.080,Sep18,
Spring Valley,91977,42,460,0.057,315,4,350,0.400,Sep18,
Spring Valley,91978,7,540,0.080,286,3,288,-0.009,Sep18,
Tierrasanta,92124,7,810,0.223,395,8,458,0.089,Sep18,
University City,92122,7,895,-0.004,549,18,516,0.072,Sep18,
Valley Center,92082,16,657,0.092,281,0,,,Sep18,
Vista,92081,13,590,0.073,343,8,320,-0.310,Sep18,
Vista,92083,21,480,-0.059,315,5,380,0.188,Sep18,
Vista,92084,33,565,0.011,293,5,445,0.862,Sep18,
Warner Springs,92086,,100,,,,,,Sep18,
Countywide,,"1,989",610,0.054,355,952,415,0.013,Oct18,
Allied Gardens,92120,23,652,0.036,421,15,290,-0.028,Oct18,
Alpine,91901,17,655,0.278,280,1,200,-0.373,Oct18,
Bay Park,92110,12,890,0.047,490,17,405,-0.002,Oct18,
Bonita,91902,19,732,0.016,317,4,277,-0.187,Oct18,
Bonsall,92003,6,734,0.351,267,3,335,0.178,Oct18,
Borrego Springs,92004,4,279,0.297,155,,,,Oct18,
Boulevard,91905,,,,,,,,Oct18,
Campo,91906,9,325,0.159,193,,,,Oct18,
Cardiff-by-the-Sea,92007,10,2023,1.260,815,1,1600,1.540,Oct18,
Carlsbad,92008,21,880,0.058,561,14,610,-0.252,Oct18,
Carlsbad,92009,37,996,-0.003,417,26,511,0.088,Oct18,
Carlsbad,92010,20,792,0.032,396,3,425,,Oct18,
Carlsbad,92011,19,900,-0.126,436,6,749,-0.098,Oct18,
Carmel Valley,92130,27,1270,0.104,466,19,736,0.217,Oct18,
Chula Vista,91910,33,544,0.077,317,18,340,-0.014,Oct18,
Chula Vista,91911,33,485,0.054,362,14,306,-0.011,Oct18,
Chula Vista,91913,21,559,0.016,288,19,400,0.067,Oct18,
Chula Vista,91914,15,750,0.103,277,4,413,0.066,Oct18,
Chula Vista,91915,12,615,0.021,300,22,444,0.055,Oct18,
Clairemont,92117,46,727,0.103,540,9,495,0.269,Oct18,
College Grove,92115,44,573,0.065,444,19,260,-0.071,Oct18,
Coronado,92118,14,2000,0.100,1250,7,840,-0.208,Oct18,
Del Mar,92014,6,1250,-0.441,817,1,1425,0.075,Oct18,
Descanso,91916,1,437,-0.070,262,,,,Oct18,
Downtown,92101,3,363,-0.552,541,63,560,0.001,Oct18,
Dulzura,91917,,,,,,,,Oct18,
East San Diego,92102,13,500,0.143,448,7,380,0.551,Oct18,
East San Diego,92105,20,445,0.071,460,4,248,-0.039,Oct18,
El Cajon,92019,40,615,0.079,311,17,320,0.026,Oct18,
El Cajon,92020,39,515,0.073,311,12,275,0.196,Oct18,
El Cajon,92021,33,515,0.073,325,11,302,-0.005,Oct18,
Encanto,92114,33,433,0.018,349,3,335,-0.013,Oct18,
Encinitas,92024,29,1240,0.033,489,18,595,-0.025,Oct18,
Escondido,92025,28,545,0.112,314,8,350,-0.028,Oct18,
Escondido,92026,42,529,0.058,284,4,313,0.181,Oct18,
Escondido,92027,36,472,-0.051,309,3,270,0.171,Oct18,
Escondido,92029,18,630,-0.067,356,1,345,,Oct18,
Fallbrook,92028,53,555,0.041,275,,,,Oct18,
Hillcrest,92103,16,1250,0.250,624,19,465,-0.016,Oct18,
Imperial Beach,91932,8,594,0.033,504,12,415,0.729,Oct18,
Jacumba,91934,,,,,,,,Oct18,
Jamul,91935,5,429,-0.388,269,,,,Oct18,
Julian,92036,7,323,-0.199,257,,,,Oct18,
La Jolla,92037,31,1794,-0.170,733,37,700,-0.119,Oct18,
La Mesa,91941,40,658,0.040,318,1,299,-0.298,Oct18,
La Mesa,91942,25,560,0.087,445,10,366,0.118,Oct18,
Lakeside,92040,21,532,0.070,332,7,245,0.222,Oct18,
Lemon Grove,91945,20,480,0.079,372,2,313,0.318,Oct18,
Linda Vista,92111,18,583,-0.042,432,23,395,-0.129,Oct18,
Logan Heights,92113,9,380,-0.050,364,1,205,-0.488,Oct18,
Mira Mesa,92126,26,630,0.081,418,29,398,0.095,Oct18,
Mission Village,92123,18,629,0.084,422,6,403,-0.202,Oct18,
National City,91950,11,450,0.125,411,8,260,0.000,Oct18,
Normal Heights,92116,22,725,0.074,665,11,405,0.092,Oct18,
North Park,92104,14,598,-0.234,689,18,367,0.383,Oct18,
Ocean Beach,92107,19,1121,0.001,640,6,471,0.222,Oct18,
Oceanside,92054,15,646,-0.071,346,16,679,0.176,Oct18,
Oceanside,92056,60,550,0.041,333,3,359,0.027,Oct18,
Oceanside,92057,74,493,-0.038,290,13,362,0.149,Oct18,
Oceanside,92058,15,520,-0.037,359,4,345,0.049,Oct18,
Pacific Beach,92109,11,1340,0.218,1078,19,630,-0.014,Oct18,
Palomar Mountain,92060,4,140,,217,,,,Oct18,
Paradise Hills,92139,19,460,-0.032,308,11,309,-0.030,Oct18,
Pauma Valley,92061,2,518,0.090,224,,,,Oct18,
Pine Valley,91962,4,433,-0.017,274,1,85,,Oct18,
Point Loma,92106,22,1023,-0.091,587,5,685,0.212,Oct18,
Potrero,91963,,,,,,,,Oct18,
Poway,92064,44,819,0.145,364,3,480,0.091,Oct18,
Ramona,92065,48,515,-0.023,284,,,,Oct18,
Ranch Bernardo,92127,31,1165,-0.028,422,23,560,0.378,Oct18,
Ranch Bernardo,92128,35,715,-0.027,389,43,433,0.043,Oct18,
Ranch Penasquitos,92129,34,775,0.062,389,12,360,0.029,Oct18,
Ranch Santa Fe,92067,16,2392,-0.083,462,,,,Oct18,
Ranch Santa Fe,92091,3,3100,1.336,401,2,910,,Oct18,
Ranchita,92066,,,,,,,,Oct18,
San Carlos,92119,17,615,-0.035,366,12,305,0.057,Oct18,
San Diego,92108,,,,,37,340,-0.056,Oct18,
San Diego,92112,,,,,,,,Oct18,
San Marcos,92069,24,535,-0.070,358,6,468,0.148,Oct18,
San Marcos,92078,29,750,0.147,336,25,492,0.014,Oct18,
San Ysidro,92173,,,,,6,208,0.602,Oct18,
Santa Ysabel,92070,,,,,,,,Oct18,
Santee,92071,42,535,0.014,359,19,380,0.063,Oct18,
Scripps Ranch,92131,19,925,-0.051,373,11,485,0.043,Oct18,
Solana Beach,92075,8,1323,0.066,614,12,979,0.112,Oct18,
Sorrento Valley,92121,1,825,,450,3,520,,Oct18,
South San Diego,92154,26,518,0.017,298,12,352,0.065,Oct18,
Spring Valley,91977,46,469,0.004,318,8,340,0.171,Oct18,
Spring Valley,91978,7,520,0.092,304,6,305,0.109,Oct18,
Tierrasanta,92124,11,814,0.294,355,9,460,-0.008,Oct18,
University City,92122,10,931,0.068,526,29,452,0.061,Oct18,
Valley Center,92082,19,671,0.020,247,,,,Oct18,
Vista,92081,32,581,0.001,296,9,355,0.316,Oct18,
Vista,92083,22,470,0.080,312,3,305,-0.076,Oct18,
Vista,92084,32,600,0.220,289,3,399,0.267,Oct18,
Warner Springs,92086,1,445,,241,,,,Oct18,
Countywide,,"1,790",605,0.008,356,797,400,-0.014,Nov18,
Allied Gardens,92120,31,672,0.101,373,9,275,0.000,Nov18,
Alpine,91901,11,605,-0.121,284,1,275,1.115,Nov18,
Bay Park,92110,10,743,-0.202,437,12,414,0.041,Nov18,
Bonita,91902,14,694,0.022,312,3,288,0.027,Nov18,
Bonsall,92003,13,720,0.302,326,1,295,-0.272,Nov18,
Borrego Springs,92004,6,330,0.524,175,2,95,0.137,Nov18,
Boulevard,91905,2,203,,148,,,,Nov18,
Campo,91906,5,300,-0.057,241,,,,Nov18,
Cardiff-by-the-Sea,92007,8,1300,-0.010,604,,,,Nov18,
Carlsbad,92008,13,865,-0.221,398,12,760,0.063,Nov18,
Carlsbad,92009,32,1077,0.197,396,18,484,-0.018,Nov18,
Carlsbad,92010,8,826,0.109,355,6,479,-0.097,Nov18,
Carlsbad,92011,20,1022,0.076,419,13,655,0.008,Nov18,
Carmel Valley,92130,21,1150,-0.009,456,14,620,-0.008,Nov18,
Chula Vista,91910,28,523,-0.007,335,10,433,0.037,Nov18,
Chula Vista,91911,21,521,0.097,307,12,330,-0.041,Nov18,
Chula Vista,91913,26,590,0.014,296,27,388,0.008,Nov18,
Chula Vista,91914,13,655,-0.049,302,3,375,-0.023,Nov18,
Chula Vista,91915,18,674,0.085,286,13,460,0.129,Nov18,
Clairemont,92117,36,633,-0.012,486,9,425,0.071,Nov18,
College Grove,92115,31,610,0.103,425,18,290,0.039,Nov18,
Coronado,92118,18,1580,-0.144,953,9,1375,-0.077,Nov18,
Del Mar,92014,8,1774,0.227,684,5,415,-0.595,Nov18,
Descanso,91916,4,550,-0.043,292,,,,Nov18,
Downtown,92101,1,361,0.444,538,48,512,-0.036,Nov18,
Dulzura,91917,,,,,,,,Nov18,
East San Diego,92102,16,483,0.170,516,4,257,-0.499,Nov18,
East San Diego,92105,18,463,0.125,429,10,204,0.131,Nov18,
El Cajon,92019,26,533,-0.044,307,10,357,0.079,Nov18,
El Cajon,92020,26,550,0.100,351,8,260,0.195,Nov18,
El Cajon,92021,34,524,0.024,322,18,276,-0.052,Nov18,
Encanto,92114,49,434,0.021,331,2,418,,Nov18,
Encinitas,92024,32,998,-0.202,521,16,645,0.151,Nov18,
Escondido,92025,28,593,-0.033,309,6,382,0.442,Nov18,
Escondido,92026,56,490,-0.054,299,7,285,0.162,Nov18,
Escondido,92027,37,499,0.109,305,5,225,-0.100,Nov18,
Escondido,92029,11,708,0.163,342,1,360,,Nov18,
Fallbrook,92028,39,570,0.023,275,3,450,0.500,Nov18,
Hillcrest,92103,13,1075,0.120,622,20,444,-0.162,Nov18,
Imperial Beach,91932,5,465,-0.215,443,8,475,0.138,Nov18,
Jacumba,91934,2,131,,126,,,,Nov18,
Jamul,91935,7,925,0.351,284,,,,Nov18,
Julian,92036,2,328,-0.090,336,,,,Nov18,
La Jolla,92037,28,2195,-0.025,759,21,774,0.143,Nov18,
La Mesa,91941,26,689,0.051,328,5,345,0.150,Nov18,
La Mesa,91942,17,550,0.106,398,5,323,-0.042,Nov18,
Lakeside,92040,39,473,-0.016,352,7,255,0.085,Nov18,
Lemon Grove,91945,16,452,0.036,316,2,298,0.352,Nov18,
Linda Vista,92111,16,616,0.064,446,11,345,-0.154,Nov18,
Logan Heights,92113,11,339,-0.035,350,1,249,-0.385,Nov18,
Mira Mesa,92126,33,610,-0.008,428,15,370,0.086,Nov18,
Mission Village,92123,11,615,0.025,514,9,327,0.131,Nov18,
National City,91950,18,420,0.050,296,6,375,1.206,Nov18,
Normal Heights,92116,17,734,0.005,557,4,325,-0.058,Nov18,
North Park,92104,15,795,0.187,622,14,416,0.453,Nov18,
Ocean Beach,92107,13,975,-0.185,758,7,603,0.314,Nov18,
Oceanside,92054,12,725,0.165,436,9,575,0.372,Nov18,
Oceanside,92056,59,535,0.029,344,5,286,0.027,Nov18,
Oceanside,92057,57,418,-0.125,280,12,322,-0.005,Nov18,
Oceanside,92058,16,481,-0.031,288,10,334,0.014,Nov18,
Pacific Beach,92109,14,1125,-0.148,655,20,570,-0.120,Nov18,
Palomar Mountain,92060,,,,,,,,Nov18,
Paradise Hills,92139,15,466,0.108,293,9,269,-0.203,Nov18,
Pauma Valley,92061,2,519,-0.208,225,,,,Nov18,
Pine Valley,91962,2,569,0.339,223,,,,Nov18,
Point Loma,92106,17,1315,0.342,569,1,789,0.078,Nov18,
Potrero,91963,1,560,0.067,326,,,,Nov18,
Poway,92064,31,750,0.095,375,4,465,0.033,Nov18,
Ramona,92065,36,532,0.069,259,3,340,0.281,Nov18,
Ranch Bernardo,92127,36,1100,-0.079,386,18,408,-0.072,Nov18,
Ranch Bernardo,92128,33,744,-0.028,378,42,415,-0.057,Nov18,
Ranch Penasquitos,92129,19,788,-0.014,380,8,385,-0.137,Nov18,
Ranch Santa Fe,92067,22,2175,-0.163,496,2,1195,0.086,Nov18,
Ranch Santa Fe,92091,3,1262,-0.622,618,,,,Nov18,
Ranchita,92066,,,,,,,,Nov18,
San Carlos,92119,21,650,0.027,386,11,328,0.025,Nov18,
San Diego,92108,,,,,37,337,-0.097,Nov18,
San Diego,92112,,,,,,,,Nov18,
San Marcos,92069,27,599,0.019,309,6,309,-0.087,Nov18,
San Marcos,92078,33,755,0.034,356,23,484,-0.012,Nov18,
San Ysidro,92173,4,337,-0.237,302,5,225,-0.136,Nov18,
Santa Ysabel,92070,,,,,,,,Nov18,
Santee,92071,35,543,0.123,343,24,342,-0.076,Nov18,
Scripps Ranch,92131,23,907,-0.047,361,14,470,-0.089,Nov18,
Solana Beach,92075,7,1500,0.299,649,10,933,0.243,Nov18,
Sorrento Valley,92121,2,1085,0.528,431,4,537,-0.136,Nov18,
South San Diego,92154,32,491,0.045,294,8,348,0.121,Nov18,
Spring Valley,91977,38,460,-0.020,302,7,308,-0.030,Nov18,
Spring Valley,91978,4,500,-0.049,249,1,315,0.107,Nov18,
Tierrasanta,92124,9,775,0.177,351,8,461,-0.054,Nov18,
University City,92122,13,876,-0.014,477,15,474,0.096,Nov18,
Valley Center,92082,20,599,0.015,235,,,,Nov18,
Vista,92081,39,575,0.000,321,5,375,0.086,Nov18,
Vista,92083,14,451,-0.010,271,3,325,-0.009,Nov18,
Vista,92084,28,508,-0.117,309,2,355,0.144,Nov18,
Warner Springs,92086,1,225,-0.444,,,,,Nov18,
Countywide,,"1,673",595,0.017,347,701,405,-0.011,Dec18,
Allied Gardens,92120,26,670,0.037,387,11,349,0.097,Dec18,
Alpine,91901,14,605,-0.031,298,3,370,0.850,Dec18,
Bay Park,92110,9,810,-0.080,554,22,420,0.051,Dec18,
Bonita,91902,6,595,-0.204,292,5,305,-0.235,Dec18,
Bonsall,92003,5,630,-0.284,256,1,250,-0.172,Dec18,
Borrego Springs,92004,10,190,-0.239,116,1,269,1.143,Dec18,
Boulevard,91905,,,,,,,,Dec18,
Campo,91906,2,367,0.248,236,,,,Dec18,
Cardiff-by-the-Sea,92007,14,1670,0.341,703,1,730,0.304,Dec18,
Carlsbad,92008,10,828,-0.086,402,6,589,-0.002,Dec18,
Carlsbad,92009,30,1123,0.204,351,15,475,-0.008,Dec18,
Carlsbad,92010,15,710,-0.007,368,2,610,0.221,Dec18,
Carlsbad,92011,10,963,-0.026,475,6,866,0.274,Dec18,
Carmel Valley,92130,38,1318,0.096,458,8,745,0.219,Dec18,
Chula Vista,91910,25,560,0.018,309,7,330,0.031,Dec18,
Chula Vista,91911,30,493,0.013,308,8,348,0.078,Dec18,
Chula Vista,91913,22,591,0.035,260,17,401,0.044,Dec18,
Chula Vista,91914,10,818,0.211,288,4,430,0.072,Dec18,
Chula Vista,91915,11,655,0.056,259,23,448,0.099,Dec18,
Clairemont,92117,31,620,-0.061,462,9,355,-0.266,Dec18,
College Grove,92115,27,625,0.136,412,10,322,0.354,Dec18,
Coronado,92118,10,1733,-0.567,936,4,1400,0.239,Dec18,
Del Mar,92014,7,2450,0.181,645,5,1030,0.052,Dec18,
Descanso,91916,2,560,0.131,313,,,,Dec18,
Downtown,92101,1,1400,,456,45,540,-0.092,Dec18,
Dulzura,91917,,,,,,,,Dec18,
East San Diego,92102,13,420,0.077,361,4,361,-0.093,Dec18,
East San Diego,92105,17,442,0.006,340,6,240,0.410,Dec18,
El Cajon,92019,37,598,0.072,309,12,325,0.048,Dec18,
El Cajon,92020,26,567,0.049,348,11,252,0.145,Dec18,
El Cajon,92021,34,525,0.186,307,9,295,0.050,Dec18,
Encanto,92114,50,440,0.019,325,2,385,,Dec18,
Encinitas,92024,35,1375,0.361,549,9,710,0.368,Dec18,
Escondido,92025,21,487,0.082,299,11,306,-0.067,Dec18,
Escondido,92026,36,485,0.041,278,,,,Dec18,
Escondido,92027,23,474,0.052,308,8,235,0.001,Dec18,
Escondido,92029,25,725,-0.024,315,,,,Dec18,
Fallbrook,92028,49,533,-0.148,274,,,,Dec18,
Hillcrest,92103,11,1080,-0.164,619,19,540,-0.032,Dec18,
Imperial Beach,91932,10,623,-0.002,554,6,556,0.408,Dec18,
Jacumba,91934,1,,,,,,,Dec18,
Jamul,91935,8,628,0.101,252,,,,Dec18,
Julian,92036,7,349,-0.105,272,,,,Dec18,
La Jolla,92037,20,2200,-0.018,818,26,730,-0.163,Dec18,
La Mesa,91941,38,615,-0.035,339,3,300,-0.055,Dec18,
La Mesa,91942,16,543,-0.063,401,8,320,-0.045,Dec18,
Lakeside,92040,25,510,-0.019,324,3,224,-0.248,Dec18,
Lemon Grove,91945,22,466,0.096,344,3,265,-0.047,Dec18,
Linda Vista,92111,22,604,-0.064,412,11,330,-0.108,Dec18,
Logan Heights,92113,8,470,0.302,401,,,,Dec18,
Mira Mesa,92126,32,584,0.026,424,23,345,-0.129,Dec18,
Mission Village,92123,13,610,0.142,467,3,340,-0.292,Dec18,
National City,91950,16,420,-0.007,418,4,407,0.502,Dec18,
Normal Heights,92116,19,750,0.071,648,7,289,-0.162,Dec18,
North Park,92104,15,736,-0.019,682,7,375,0.136,Dec18,
Ocean Beach,92107,9,1005,0.005,535,9,480,0.322,Dec18,
Oceanside,92054,13,585,-0.110,435,8,575,0.084,Dec18,
Oceanside,92056,45,540,0.021,324,3,270,-0.139,Dec18,
Oceanside,92057,62,468,-0.031,306,10,345,0.256,Dec18,
Oceanside,92058,10,519,-0.039,334,5,275,-0.219,Dec18,
Pacific Beach,92109,16,1122,-0.089,888,25,632,0.265,Dec18,
Palomar Mountain,92060,1,188,,154,,,,Dec18,
Paradise Hills,92139,14,445,0.035,307,5,345,0.131,Dec18,
Pauma Valley,92061,,,,,1,350,,Dec18,
Pine Valley,91962,1,430,,417,,,,Dec18,
Point Loma,92106,12,883,-0.063,500,3,545,-0.128,Dec18,
Potrero,91963,,,,,,,,Dec18,
Poway,92064,41,770,0.073,374,3,465,0.081,Dec18,
Ramona,92065,44,494,0.018,264,1,300,-0.183,Dec18,
Ranch Bernardo,92127,30,1043,-0.052,358,15,413,-0.045,Dec18,
Ranch Bernardo,92128,25,675,-0.043,398,27,407,-0.095,Dec18,
Ranch Penasquitos,92129,17,850,0.141,367,9,363,0.169,Dec18,
Ranch Santa Fe,92067,12,2420,-0.069,396,,,,Dec18,
Ranch Santa Fe,92091,4,2860,1.398,634,2,835,,Dec18,
Ranchita,92066,,,,,,0,,Dec18,
San Carlos,92119,15,618,-0.010,332,5,319,0.078,Dec18,
San Diego,92108,2,623,,364,32,446,0.211,Dec18,
San Diego,92112,,,,,,0,,Dec18,
San Marcos,92069,30,625,0.184,326,5,315,0.223,Dec18,
San Marcos,92078,28,897,0.222,314,18,474,-0.003,Dec18,
San Ysidro,92173,4,447,-0.039,273,6,255,0.063,Dec18,
Santa Ysabel,92070,,,,,,0,,Dec18,
Santee,92071,31,517,-0.006,342,21,346,0.003,Dec18,
Scripps Ranch,92131,18,923,-0.087,331,8,485,-0.074,Dec18,
Solana Beach,92075,6,1378,-0.321,625,5,900,0.200,Dec18,
Sorrento Valley,92121,2,861,-0.156,320,2,604,,Dec18,
South San Diego,92154,20,458,-0.093,296,16,384,0.168,Dec18,
Spring Valley,91977,45,475,0.024,306,12,287,0.041,Dec18,
Spring Valley,91978,5,575,-0.094,304,4,295,-0.051,Dec18,
Tierrasanta,92124,8,662,-0.130,376,6,572,0.210,Dec18,
University City,92122,8,849,0.055,520,13,515,0.232,Dec18,
Valley Center,92082,20,550,-0.076,246,,0,,Dec18,
Vista,92081,14,557,0.004,329,4,397,-0.189,Dec18,
Vista,92083,18,435,-0.033,327,7,279,-0.064,Dec18,
Vista,92084,24,613,0.286,273,,0,,Dec18,
Warner Springs,92086,3,,,168,,0,,Dec18,
Countywide,,"1,410",588,0.041,346,592,412,0.005,Jan19,
Allied Gardens,92120,12,604,-0.113,359,7,348,-0.070,Jan19,
Alpine,91901,14,655,0.042,296,3,309,0.124,Jan19,
Bay Park,92110,6,775,0.123,628,10,499,0.202,Jan19,
Bonita,91902,17,638,-0.221,300,2,440,0.111,Jan19,
Bonsall,92003,4,614,0.041,237,,0,,Jan19,
Borrego Springs,92004,2,178,-0.066,94,2,85,0.006,Jan19,
Boulevard,91905,1,290,1.231,194,,0,,Jan19,
Campo,91906,5,340,0.204,233,,0,,Jan19,
Cardiff-by-the-Sea,92007,8,1750,0.592,674,,0,,Jan19,
Carlsbad,92008,18,1002,0.253,449,6,781,0.447,Jan19,
Carlsbad,92009,24,1053,0.053,351,21,475,-0.069,Jan19,
Carlsbad,92010,14,773,0.016,399,6,474,-0.162,Jan19,
Carlsbad,92011,14,971,-0.023,448,7,760,-0.111,Jan19,
Carmel Valley,92130,22,1297,0.054,449,18,626,-0.003,Jan19,
Chula Vista,91910,31,500,0.010,289,9,350,-0.171,Jan19,
Chula Vista,91911,23,449,-0.052,295,7,340,0.091,Jan19,
Chula Vista,91913,22,603,0.047,264,15,415,0.172,Jan19,
Chula Vista,91914,16,715,0.021,278,2,323,-0.085,Jan19,
Chula Vista,91915,12,647,0.128,247,10,455,0.173,Jan19,
Clairemont,92117,27,635,-0.043,502,5,314,-0.140,Jan19,
College Grove,92115,19,550,0.068,415,17,245,-0.032,Jan19,
Coronado,92118,11,2050,0.117,908,5,1495,0.058,Jan19,
Del Mar,92014,7,2000,-0.048,741,5,595,-0.609,Jan19,
Descanso,91916,1,475,0.570,231,,0,,Jan19,
Downtown,92101,,,,,55,550,0.028,Jan19,
Dulzura,91917,,,,,,0,,Jan19,
East San Diego,92102,6,408,-0.073,390,8,258,-0.130,Jan19,
East San Diego,92105,17,420,0.024,457,12,216,-0.016,Jan19,
El Cajon,92019,22,560,0.021,321,7,345,0.169,Jan19,
El Cajon,92020,24,480,0.011,329,4,289,0.065,Jan19,
El Cajon,92021,18,533,0.109,327,11,310,0.192,Jan19,
Encanto,92114,47,410,-0.013,319,1,390,,Jan19,
Encinitas,92024,23,1328,0.196,464,9,745,0.272,Jan19,
Escondido,92025,17,440,-0.083,380,6,541,0.419,Jan19,
Escondido,92026,39,498,-0.046,309,3,360,-0.050,Jan19,
Escondido,92027,29,470,0.062,334,2,263,0.186,Jan19,
Escondido,92029,12,797,-0.092,315,1,305,-0.287,Jan19,
Fallbrook,92028,37,505,-0.047,266,,0,,Jan19,
Hillcrest,92103,8,925,0.190,718,12,565,0.161,Jan19,
Imperial Beach,91932,11,595,0.148,471,2,846,1.891,Jan19,
Jacumba,91934,,,,,,0,,Jan19,
Jamul,91935,10,613,0.168,263,,0,,Jan19,
Julian,92036,2,435,0.087,211,,0,,Jan19,
La Jolla,92037,17,1950,-0.278,865,19,814,-0.185,Jan19,
La Mesa,91941,23,605,-0.078,338,2,284,-0.004,Jan19,
La Mesa,91942,23,540,0.009,372,10,326,-0.081,Jan19,
Lakeside,92040,23,489,-0.027,302,11,305,0.662,Jan19,
Lemon Grove,91945,18,468,0.051,339,1,330,,Jan19,
Linda Vista,92111,18,608,0.052,413,7,443,0.125,Jan19,
Logan Heights,92113,9,380,0.013,342,,0,,Jan19,
Mira Mesa,92126,22,600,0.053,365,11,415,0.162,Jan19,
Mission Village,92123,10,606,0.070,443,4,348,-0.264,Jan19,
National City,91950,10,435,0.056,305,6,315,-0.025,Jan19,
Normal Heights,92116,11,700,0.078,579,7,385,0.055,Jan19,
North Park,92104,14,735,-0.006,647,3,392,-0.020,Jan19,
Ocean Beach,92107,13,1010,0.092,535,3,499,-0.035,Jan19,
Oceanside,92054,12,610,-0.190,378,7,525,-0.026,Jan19,
Oceanside,92056,45,510,-0.049,315,5,315,-0.123,Jan19,
Oceanside,92057,42,468,0.016,301,8,295,-0.151,Jan19,
Oceanside,92058,10,540,0.385,308,2,333,0.093,Jan19,
Pacific Beach,92109,11,1200,-0.059,838,14,763,0.486,Jan19,
Palomar Mountain,92060,,,,,,0,,Jan19,
Paradise Hills,92139,13,479,0.164,312,4,312,0.023,Jan19,
Pauma Valley,92061,,,,,,0,,Jan19,
Pine Valley,91962,,,,,,0,,Jan19,
Point Loma,92106,8,1360,0.286,643,2,360,-0.576,Jan19,
Potrero,91963,,,,,,0,,Jan19,
Poway,92064,29,810,0.050,376,6,479,0.064,Jan19,
Ramona,92065,19,488,-0.044,248,3,297,0.063,Jan19,
Ranch Bernardo,92127,23,1140,-0.015,378,12,590,-0.041,Jan19,
Ranch Bernardo,92128,22,658,-0.148,386,20,411,-0.126,Jan19,
Ranch Penasquitos,92129,21,795,0.079,392,9,375,0.230,Jan19,
Ranch Santa Fe,92067,9,2525,-0.098,590,,0,,Jan19,
Ranch Santa Fe,92091,5,1275,-0.275,458,1,1225,,Jan19,
Ranchita,92066,,,,,,0,,Jan19,
San Carlos,92119,14,578,-0.063,404,4,334,0.041,Jan19,
San Diego,92108,2,558,-0.149,386,17,330,-0.024,Jan19,
San Diego,92112,,,,,,0,,Jan19,
San Marcos,92069,15,595,0.004,287,4,415,0.137,Jan19,
San Marcos,92078,24,827,0.191,336,18,460,0.000,Jan19,
San Ysidro,92173,2,583,0.280,442,4,246,0.293,Jan19,
Santa Ysabel,92070,1,479,,399,,0,,Jan19,
Santee,92071,44,498,-0.047,318,11,360,0.032,Jan19,
Scripps Ranch,92131,18,915,0.080,363,12,470,0.011,Jan19,
Solana Beach,92075,4,1488,-0.008,791,5,765,-0.180,Jan19,
Sorrento Valley,92121,1,1115,0.051,385,,0,,Jan19,
South San Diego,92154,20,445,-0.110,277,7,357,0.063,Jan19,
Spring Valley,91977,37,458,0.011,307,9,305,-0.076,Jan19,
Spring Valley,91978,4,573,0.013,335,1,305,0.089,Jan19,
Tierrasanta,92124,11,729,0.121,369,4,517,0.166,Jan19,
University City,92122,16,844,0.017,551,18,537,0.206,Jan19,
Valley Center,92082,15,640,0.076,230,,0,,Jan19,
Vista,92081,16,590,0.035,334,4,261,-0.144,Jan19,
Vista,92083,11,415,-0.067,271,4,343,0.012,Jan19,
Vista,92084,21,538,-0.014,301,,,,Jan19,
Warner Springs,92086,,,,,,,,Jan19,
,,,,,,,,,,
