City/Community,,House_units,House_price,House_change,House_foot,Condo_units,Condo_price,Condo_change,Month,
Valley Center,92082,10,619,0.145,229,0,,,Feb18,
Vista,92081,18,575,0.090,314,1,500,0.425,Feb18,
Vista,92083,20,455,0.151,345,3,270,-0.182,Feb18,
Vista,92084,35,580,0.177,287,4,397,0.391,Feb18,
Warner Springs,92086,3,379,0.150,187,0,,,Feb18,
Countywide,,"2,126",609,0.107,355,"1,038",418,0.072,Mar18,
Allied Gardens,92120,30,688,0.118,391,10,298,-0.064,Mar18,
Alpine,91901,18,612,0.020,313,2,286,0.080,Mar18,
Bay Park,92110,10,876,0.068,565,23,425,0.115,Mar18,
Bonita,91902,13,725,0.054,307,8,335,0.324,Mar18,
Bonsall,92003,7,697,-0.220,267,2,409,0.097,Mar18,
Borrego Springs,92004,11,267,0.526,164,,,,Mar18,
Boulevard,91905,,,,,,,,Mar18,
Campo,91906,5,320,0.502,170,,,,Mar18,
Cardiff-by-the-Sea,92007,4,1326,0.588,599,1,1250,0.129,Mar18,
Carlsbad,92008,14,1068,0.377,449,8,840,0.182,Mar18,
Carlsbad,92009,31,1065,0.170,368,26,478,0.027,Mar18,
Carlsbad,92010,20,816,0.050,367,5,465,0.075,Mar18,
Carlsbad,92011,17,990,0.005,409,12,763,0.155,Mar18,
Carmel Valley,92130,44,1310,0.048,478,31,630,0.105,Mar18,
Chula Vista,91910,24,551,0.060,326,15,276,-0.297,Mar18,
Chula Vista,91911,30,510,0.127,326,8,280,-0.051,Mar18,
Chula Vista,91913,31,600,0.143,267,21,359,0.056,Mar18,
Chula Vista,91914,15,750,0.147,259,4,434,0.157,Mar18,
Chula Vista,91915,13,626,0.015,263,26,423,0.086,Mar18,
Clairemont,92117,47,680,0.082,515,12,391,0.073,Mar18,
College Grove,92115,30,553,0.081,470,15,310,0.228,Mar18,
Coronado,92118,16,1805,0.081,825,8,1225,0.113,Mar18,
Del Mar,92014,12,2000,0.465,885,6,542,-0.514,Mar18,
Descanso,91916,3,451,-0.146,257,,,,Mar18,
Downtown,92101,2,983,,705,90,595,0.202,Mar18,
